Semana,Caudal
25/03/2017,384.37
01/04/2017,337.84
08/04/2017,282.32
15/04/2017,191.65
22/04/2017,160.34943
29/04/2017,136.65
06/05/2017,135.97
13/05/2017,135.66
20/05/2017,113.82
27/05/2017,64.03
03/06/2017,53.15
10/06/2017,45.98
17/06/2017,38.68
24/06/2017,34.68
01/07/2017,31.72
08/07/2017,29.25
15/07/2017,29.53
22/07/2017,27.62
29/07/2017,27.98657
05/08/2017,31.42472
12/08/2017,29.70671
19/08/2017,30.50914
26/08/2017,27.50414
02/09/2017,26.21286
09/09/2017,29.97786
16/09/2017,34.37186
23/09/2017,42.16557
30/09/2017,37.27272
07/10/2017,40.04
14/10/2017,35.78929
21/10/2017,50.35933
28/10/2017,54.94
04/11/2017,41.15814
11/11/2017,42.647
18/11/2017,39.76014
25/11/2017,47.388
02/12/2017,78.08743
09/12/2017,69.76414
16/12/2017,71.145
23/12/2017,83.196
30/12/2017,69.08714
06/01/2018,96.78586
13/01/2018,158.17729
20/01/2018,167.02357
27/01/2018,113.19586
03/02/2018,88.53571
10/02/2018,99.37823
17/02/2018,140.28
24/02/2018,102.99643
03/03/2018,175.90486
10/03/2018,169.64672
17/03/2018,198.22
24/03/2018,312.63143
31/03/2018,235.31329
07/04/2018,294.17214
14/04/2018,149.18
21/04/2018,104.35
28/04/2018,78.03814
05/05/2018,78.31386
12/05/2018,130.92629
19/05/2018,64.44929
26/05/2018,64.44929
02/06/2018,39.501
09/06/2018,33.69029
16/06/2018,30.22843
23/06/2018,27.87229
30/06/2018,27.25757
07/07/2018,27.21729
14/07/2018,24.95571
21/07/2018,24.80943
28/07/2018,25.691
04/08/2018,27.63
11/08/2018,23.78
18/08/2018,23.528
25/08/2018,23.29
01/09/2018,23.00714
08/09/2018,23.17357
15/09/2018,26.454
22/09/2018,23.7
29/09/2018,23.69514
06/10/2018,28.11329
13/10/2018,37.07329
20/10/2018,70.53557
27/10/2018,55.18371
03/11/2018,60.44571
10/11/2018,57.00571
17/11/2018,103.00771
24/11/2018,99.828
01/12/2018,60.27571
08/12/2018,46.702
15/12/2018,68.7
22/12/2018,97.34714
29/12/2018,78.29857
05/01/2019,95.08172
12/01/2019,95.65
19/01/2019,109.29957
26/01/2019,149.65083
02/02/2019,136.57714
09/02/2019,224.71072
16/02/2019,198.04343
23/02/2019,191.01128
02/03/2019,215.64014
09/03/2019,236.761
16/03/2019,250.86798
23/03/2019,301.45972
30/03/2019,253.08543
06/04/2019,253.08543
13/04/2019,141.04586
20/04/2019,123.86657
27/04/2019,85.17386
04/05/2019,71.22429
11/05/2019,76.85714
18/05/2019,47.97114
25/05/2019,37.62429
01/06/2019,37.80629
08/06/2019,35.46871
15/06/2019,33.20014
22/06/2019,28.37629
29/06/2019,28.47
06/07/2019,28.92033
13/07/2019,24.42233
20/07/2019,24.08667
27/07/2019,22.47129
03/08/2019,25.21271
10/08/2019,28.061
17/08/2019,28.45586
24/08/2019,26.646
31/08/2019,27.72057
07/09/2019,27.96757
14/09/2019,31.354
21/09/2019,37.1464
28/09/2019,29.935
05/10/2019,31.668
12/10/2019,30.06143
19/10/2019,48.13
26/10/2019,37.78183
02/11/2019,60.72143
09/11/2019,68.56986
16/11/2019,51.535
23/11/2019,45.11571
30/11/2019,84.84643
07/12/2019,99.13971
14/12/2019,201.52657
21/12/2019,224.10943
28/12/2019,129.33128
04/01/2020,73.393
11/01/2020,73.09257
18/01/2020,140.69343
25/01/2020,189.96014
01/02/2020,184.551
08/02/2020,141.48914
15/02/2020,83.96957
22/02/2020,124.34114
29/02/2020,110.965
07/03/2020,130.17914
14/03/2020,127.86657
21/03/2020,138.129
28/03/2020,109.14457
04/04/2020,80.13357
11/04/2020,57.13714
18/04/2020,55.18429
25/04/2020,80.201
02/05/2020,73.39871
09/05/2020,57.62971
16/05/2020,47.20843
23/05/2020,39.63557
30/05/2020,49.13686
06/06/2020,34.15043
13/06/2020,32.28886
20/06/2020,29.45586
27/06/2020,27.98643
04/07/2020,24.37186
11/07/2020,23.62086
18/07/2020,26.75743
25/07/2020,26.48129
01/08/2020,25.50657
08/08/2020,31.44143
15/08/2020,33.36571
22/08/2020,29.069
29/08/2020,26.00543
05/09/2020,25.02186
12/09/2020,27.85471
19/09/2020,27.98657
26/09/2020,25.259
03/10/2020,25.18557
10/10/2020,33.126
17/10/2020,41.12714
