Semana,Caudal
2012-42,47.04
2012-43,49.11471
2012-44,73.39657
2012-45,81.79271
2012-46,74.72471
2012-47,76.05
2012-48,70.88514
2012-49,61.51014
2012-50,56.84
2012-51,128.01
2013-00,151.62186
2013-01,84.93186
2013-02,80.85
2013-03,88.385
2013-04,88.52457
2013-05,106.82733
2013-06,139.761
2013-07,135.598
2013-08,149.28
2013-09,216.03
2013-10,282.64017
2013-11,405.85017
2013-12,226.90343
2013-13,147.50717
2013-14,139.93215
2013-15,112.27686
2013-16,73.62857
2013-17,65.2505
2013-18,66.36186
2013-19,54.74883
2013-20,49.40567
2013-21,43.89028
2013-22,34.62757
2013-23,29.95057
2013-24,30.27814
2013-25,29.18
2013-26,27.1945
2013-27,24.53457
2013-28,24.71157
2013-29,23.48186
2013-30,23.62986
2013-31,24.786
2013-32,24.692
2013-33,27.86557
2013-34,28.374
2013-35,23.9485
2013-36,27.54514
2013-37,31.99975
2013-38,29.49129
2013-39,33.85
2013-40,34.5714
2013-41,59.05
2013-42,51.83943
2013-43,78.99257
2013-44,75.45567
2013-45,48.36714
2013-46,51.61683
2013-47,49.708
2013-48,86.84071
2013-49,140.0235
2013-50,119.75
2013-51,73.19714
2013-52,68.80429
2014-00,104.61314
2014-01,101.16557
2014-02,111.64
2014-03,95.39
2014-04,103.58
2014-05,145.91
2014-06,146.24772
2014-07,310.30528
2014-08,232.7
2014-09,313.02367
2014-10,264.7064
2014-11,260.18157
2014-12,163.48
2014-13,101.372
2014-14,86.66
2014-15,82.16
2014-16,97.92
2014-17,118.21
2014-18,91.5696
2014-19,67.65
2014-20,56.34014
2014-21,42.3
2014-22,42.03657
2014-23,37.36567
2014-24,33.43
2014-25,32.89
2014-26,29.11
2014-27,26.72
2014-28,25.073
2014-29,24.52
2014-30,24.25
2014-31,23.87
2014-32,25.066
2014-33,27.59
2014-34,23.33
2014-35,23.27
2014-36,29.39129
2014-37,30.785
2014-38,30.66214
2014-39,36.38
2014-40,34.16329
2014-41,40.36
2014-42,45.66486
2014-43,39.85
2014-44,61.09067
2014-45,77.43367
2014-46,47.74857
2014-47,56.05
2014-48,78.91
2014-49,120.64
2014-50,78.84
2014-51,173.24643
2015-00,128.196
2015-01,96.16343
2015-02,170.70128
2015-03,159.75871
2015-04,175.85857
2015-05,165.36414
2015-06,115.83272
2015-07,105.39786
2015-08,162.89514
2015-09,131.48
2015-10,168.71
2015-11,283.36357
2015-12,166.3
2015-13,135.46
2015-14,144.73
2015-15,119.23557
2015-16,87.61
2015-17,85.12
2015-18,72.61
2015-19,131.49529
2015-20,75.34472
2015-21,59.61229
2015-22,45.06
2015-23,39.22
2015-24,35.65
2015-25,32.87843
2015-26,31.86
2015-27,28.23771
2015-28,26.65
2015-29,26.61514
2015-30,28.73
2015-31,30.58
2015-32,30.24
2015-33,31.73
2015-34,29.10567
2015-35,30.579
2015-36,32.723
2015-37,38.73833
2015-38,34.809
2015-39,35.9
2015-40,46.35
2015-41,46.9
2015-42,61.18
2015-43,47.64
2015-44,57.13
2015-45,72.62
2015-46,62.65
2015-47,83.52
2015-48,80.85
2015-49,63.199
2015-50,87.03
2015-51,110.661
2016-00,96.75
2016-01,76.51
2016-02,80.096
2016-03,77.09
2016-04,140.12
2016-05,144.67043
2016-06,117.32471
2016-07,140.31114
2016-08,268.9475
2016-09,243.7115
2016-10,154.21
2016-11,116.62271
2016-12,120.788
2016-13,125.66286
2016-14,127.68986
2016-15,97.4
2016-16,85.48714
2016-17,62.37
2016-18,58.68429
2016-19,54
2016-20,50.757
2016-21,46.59
2016-22,40.29
2016-23,35.63
2016-24,34.60843
2016-25,34.07429
2016-26,29.48967
2016-27,29.54133
2016-28,32.47
2016-29,32.11229
2016-30,29.13271
2016-31,34.15014
2016-32,35.22557
2016-33,35.16857
2016-34,37.82443
2016-35,39.78
2016-36,44.25
2016-37,41.31186
2016-38,41.13
2016-39,46.466
2016-40,37.27371
2016-41,48.572
2016-42,35.32
2016-43,36.83
2016-44,39.52
2016-45,53.38
2016-46,61.853
2016-47,65.33043
2016-48,66.68
2016-49,61.31
2016-50,70.79
2016-51,77.43486
2017-00,103.58
2017-01,105.01
2017-02,137.40957
2017-03,127.83
2017-04,97.31283
2017-05,123.44
2017-06,145.02
2017-07,175.03
2017-08,206.14
2017-09,270.17
2017-10,376.42
2017-11,351.57
2017-12,384.37
2017-13,337.84
2017-14,282.32
2017-15,191.65
2017-16,160.34943
2017-17,136.65
2017-18,135.97
2017-19,135.66
2017-20,113.82
2017-21,64.03
2017-22,53.15
2017-23,45.98
2017-24,38.68
